route_type,seq,row,col,x_m,y_m,lat,lon
shortest,0,171,467,77323.713366,12098.818869000002,-87.4194372574005,81.10705291605449
shortest,1,170,466,77298.713366,12123.818869000002,-87.42012382337339,81.08613612051285
shortest,2,169,466,77298.713366,12148.818869000002,-87.41999601201493,81.06805128648574
shortest,3,168,466,77298.713366,12173.818869000002,-87.41986794373302,81.0499682465936
shortest,4,167,465,77273.713366,12198.818869000002,-87.42055357116269,81.0290327723707
shortest,5,166,464,77248.713366,12223.818869000002,-87.42123885432305,81.00808616475358
shortest,6,165,463,77223.713366,12248.818869000002,-87.42192379293918,80.98712842046247
shortest,7,164,463,77223.713366,12273.818869000002,-87.42179457492747,80.96903589807089
shortest,8,163,463,77223.713366,12298.818869000002,-87.42166509995364,80.95094519157551
shortest,9,162,463,77223.713366,12323.818869000002,-87.42153536805635,80.9328563043095
shortest,10,161,463,77223.713366,12348.818869000002,-87.42140537927449,80.91476923960381
shortest,11,160,463,77223.713366,12373.818869000002,-87.42127513364692,80.89668400078739
shortest,12,159,462,77198.713366,12398.818869000002,-87.4219582375756,80.87569640105491
shortest,13,158,461,77173.713366,12423.818869000002,-87.42264099570515,80.85469767526466
shortest,14,157,460,77148.713366,12448.818869000002,-87.42332340776011,80.83368782021262
